国名,地域数,表面積,人口,人口密度,言語数
Macao,4,18.00,473000,26277.7778,4
Monaco,4,1.50,34000,22666.6667,4
"Hong Kong",5,1075.00,6782000,6308.8372,5
Singapore,3,618.00,3567000,5771.8447,3
Gibraltar,2,6.00,25000,4166.6667,2
"Holy See (Vatican City State)",1,0.40,1000,2500.0000,1
Bermuda,1,53.00,65000,1226.4151,1
Malta,2,316.00,380200,1203.1646,2
Maldives,2,298.00,286000,959.7315,2
Bangladesh,7,143998.00,129155000,896.9222,7
Bahrain,2,694.00,617000,889.0490,2
Barbados,2,430.00,270000,627.9070,2
Taiwan,6,36188.00,22256000,615.0105,6
Nauru,5,21.00,12000,571.4286,5
Mauritius,6,2040.00,1158000,567.6471,6
Aruba,4,193.00,103000,533.6788,4
Palestine,2,6257.00,3101000,495.6049,2
"South Korea",2,99434.00,46844000,471.1065,2
Tuvalu,3,26.00,12000,461.5385,3
"San Marino",1,61.00,27000,442.6230,1
"Puerto Rico",2,8875.00,3869000,435.9437,2
Mayotte,3,373.00,149000,399.4638,3
Netherlands,4,41526.00,15864000,382.0257,4
Martinique,2,1102.00,395000,358.4392,2
"Marshall Islands",2,181.00,64000,353.5912,2
"American Samoa",3,199.00,68000,341.7085,3
Belgium,6,30518.00,10239000,335.5069,6
Japan,6,377829.00,126714000,335.3739,6
Lebanon,3,10400.00,3282000,315.5769,3
Comoros,5,1862.00,578000,310.4189,5
India,12,3287263.00,1013662000,308.3605,12
Guam,5,549.00,168000,306.0109,5
"El Salvador",2,21041.00,6276000,298.2748,2
Haiti,2,27750.00,8222000,296.2883,2
Israel,3,21056.00,6217000,295.2603,3
"Saint Vincent and the Grenadines",2,388.00,114000,293.8144,2
Rwanda,2,26338.00,7733000,293.6062,2
"Sri Lanka",3,65610.00,18827000,286.9532,3
Réunion,5,2510.00,699000,278.4861,5
Grenada,1,344.00,94000,273.2558,1
"Netherlands Antilles",3,800.00,217000,271.2500,3
"Virgin Islands, U.S.",3,347.00,93000,268.0115,3
Guadeloupe,2,1705.00,456000,267.4487,2
Philippines,20,300000.00,75967000,253.2233,20
Philippines,10,300000.00,75967000,253.2233,10
"Trinidad and Tobago",3,5130.00,1295000,252.4366,3
"Saint Lucia",2,622.00,154000,247.5884,2
"United Kingdom",3,242900.00,59623400,245.4648,3
Vietnam,9,331689.00,79832000,240.6833,9
Burundi,3,27834.00,6695000,240.5332,3
Jamaica,2,10990.00,2583000,235.0318,2
Germany,6,357022.00,82164700,230.1390,6
Liechtenstein,3,160.00,32300,201.8750,3
"North Korea",2,120538.00,24039000,199.4309,2
Pakistan,8,796095.00,156483000,196.5632,8
Italy,8,301316.00,57680000,191.4269,8
"Dominican Republic",2,48511.00,8495000,175.1149,2
Switzerland,4,41284.00,7160400,173.4425,4
"Micronesia, Federated States of",6,702.00,119000,169.5157,6
Seychelles,3,455.00,77000,169.2308,3
Luxembourg,5,2586.00,435700,168.4841,5
"Northern Mariana Islands",6,464.00,78000,168.1034,6
Tokelau,2,12.00,2000,166.6667,2
Andorra,4,468.00,78000,166.6667,4
Nepal,7,147181.00,23930000,162.5889,7
"Antigua and Barbuda",2,442.00,68000,153.8462,2
"Sao Tome and Principe",2,964.00,147000,152.4896,2
Tonga,2,650.00,99000,152.3077,2
"Saint Kitts and Nevis",2,261.00,38000,145.5939,2
"Cayman Islands",1,264.00,38000,143.9394,1
"Virgin Islands, British",1,151.00,21000,139.0728,1
China,12,9572900.00,1277558000,133.4557,12
China,24,9572900.00,1277558000,133.4557,24
"Czech Republic",8,78866.00,10278100,130.3236,8
Moldova,5,33851.00,4380000,129.3906,5
Denmark,7,43094.00,5330000,123.6831,7
Nigeria,10,923768.00,111506000,120.7078,10
Thailand,6,513115.00,61399000,119.6593,6
Poland,4,323250.00,38653600,119.5780,4
Albania,3,28748.00,3401200,118.3108,3
Armenia,2,29800.00,3520000,118.1208,2
Gambia,5,11295.00,1305000,115.5378,5
Kiribati,2,726.00,83000,114.3251,2
Indonesia,18,1904569.00,212107000,111.3675,18
Indonesia,9,1904569.00,212107000,111.3675,9
Kuwait,2,17818.00,1972000,110.6746,2
Slovakia,5,49012.00,5398700,110.1506,5
Portugal,1,91982.00,9997600,108.6908,1
Hungary,6,93030.00,10043200,107.9566,6
Montserrat,1,102.00,11000,107.8431,1
France,6,551500.00,59225700,107.3902,6
"Cape Verde",2,4033.00,428000,106.1245,2
Guatemala,5,108889.00,11385000,104.5560,5
Yugoslavia,6,102173.00,10640000,104.1371,6
Cuba,1,110861.00,11201000,101.0364,1
Slovenia,3,20256.00,1987800,98.1339,3
Austria,8,83859.00,8091800,96.4929,8
Dominica,2,751.00,71000,94.5406,2
Romania,6,238391.00,22455500,94.1961,6
Malawi,4,118484.00,10925000,92.2065,4
Uganda,10,241038.00,21778000,90.3509,10
Azerbaijan,4,86600.00,7734000,89.3072,4
Syria,2,185180.00,16125000,87.0774,2
Turkey,3,774815.00,66591000,85.9444,3
"Cook Islands",2,236.00,20000,84.7458,2
Ghana,6,238533.00,20212000,84.7346,6
Ukraine,7,603700.00,50456000,83.5779,7
Anguilla,1,96.00,8000,83.3333,1
Cyprus,2,9251.00,754700,81.5804,2
Togo,8,56785.00,4629000,81.5180,8
Greece,2,131626.00,10545700,80.1187,2
Croatia,2,56538.00,4473000,79.1149,2
"Costa Rica",4,51100.00,4023000,78.7280,4
Macedonia,5,25713.00,2024000,78.7150,5
Spain,4,505992.00,39441700,77.9493,4
"Bosnia and Herzegovina",1,51197.00,3972000,77.5827,1
"Wallis and Futuna",2,200.00,15000,75.0000,2
Bulgaria,4,110994.00,8190900,73.7959,4
Georgia,6,69700.00,4968000,71.2769,6
Lesotho,3,30355.00,2153000,70.9274,3
Egypt,2,1001449.00,68470000,68.3709,2
"Sierra Leone",8,71740.00,4854000,67.6610,8
Malaysia,6,329758.00,22244000,67.4555,6
Myanmar,8,676578.00,45611000,67.4143,8
Samoa,3,2831.00,180000,63.5818,3
Morocco,2,446550.00,28351000,63.4890,2
Cambodia,4,181035.00,11168000,61.6897,4
"East Timor",2,14874.00,885000,59.4998,2
"French Polynesia",3,4000.00,235000,58.7500,3
Tunisia,3,163610.00,9586000,58.5906,3
Swaziland,2,17364.00,1008000,58.0511,2
Honduras,4,112088.00,6485000,57.8563,4
Jordan,3,88946.00,5083000,57.1470,3
Brunei,4,5765.00,328000,56.8951,4
Ethiopia,7,1104300.00,62565000,56.6558,7
Lithuania,5,65301.00,3698500,56.6377,5
"Norfolk Island",1,36.00,2000,55.5556,1
Qatar,2,11000.00,599000,54.4545,2
Uzbekistan,6,447400.00,24318000,54.3540,6
Benin,7,112622.00,6097000,54.1368,7
Ireland,2,70273.00,3775100,53.7205,2
Iraq,5,438317.00,23115000,52.7358,5
Kenya,10,580367.00,30080000,51.8293,10
Mexico,12,1958201.00,98881000,50.4958,12
Mexico,6,1958201.00,98881000,50.4958,6
Belarus,4,207600.00,10236000,49.3064,4
Senegal,6,196722.00,9481000,48.1949,6
"Côte d’Ivoire",5,322463.00,14786000,45.8533,5
Bhutan,3,47000.00,2124000,45.1915,3
"Fiji Islands",2,18274.00,817000,44.7083,2
Ecuador,2,283561.00,12646000,44.5971,2
"Burkina Faso",6,274000.00,11937000,43.5657,6
Tajikistan,3,143100.00,6188000,43.2425,3
"Cocos (Keeling) Islands",2,14.00,600,42.8571,2
Palau,4,459.00,19000,41.3943,4
Iran,10,1648195.00,67702000,41.0765,10
"Turks and Caicos Islands",1,430.00,17000,39.5349,1
Nicaragua,4,130000.00,5074000,39.0308,4
Tanzania,11,883749.00,33517000,37.9259,11
Panama,6,75517.00,2856000,37.8193,6
Latvia,6,64589.00,2424200,37.5327,6
Colombia,5,1138914.00,42321000,37.1591,5
Afghanistan,5,652090.00,22720000,34.8418,5
Yemen,2,527968.00,18112000,34.3051,2
Guinea-Bissau,6,36125.00,1213000,33.5779,6
"South Africa",11,1221037.00,40377000,33.0678,11
Eritrea,6,117600.00,3850000,32.7381,6
Estonia,5,45227.00,1439200,31.8217,5
Cameroon,8,475442.00,15085000,31.7284,8
"Faroe Islands",2,1399.00,43000,30.7362,2
Guinea,7,245857.00,7430000,30.2208,7
Zimbabwe,4,390757.00,11669000,29.8625,4
"United States",36,9363520.00,278357000,29.7278,36
"United States",12,9363520.00,278357000,29.7278,12
"United States",24,9363520.00,278357000,29.7278,24
"United Arab Emirates",2,83600.00,2441000,29.1986,2
"Saint Pierre and Miquelon",1,242.00,7000,28.9256,1
Liberia,8,111369.00,3154000,28.3203,8
Djibouti,3,23200.00,638000,27.5000,3
Madagascar,2,587041.00,15942000,27.1565,2
Venezuela,3,912050.00,24170000,26.5007,3
Mozambique,10,801590.00,19680000,24.5512,10
Kyrgyzstan,7,199900.00,4699000,23.5068,7
Laos,4,236800.00,5433000,22.9434,4
Bahamas,2,13878.00,307000,22.1213,2
"Congo, The Democratic Republic of the",10,2344858.00,51654000,22.0286,10
Chile,4,756626.00,15211000,20.1037,4
Peru,3,1285216.00,25662000,19.9671,3
Brazil,5,8547403.00,170115000,19.9025,5
Sweden,6,449964.00,8861400,19.6936,6
"Saint Helena",1,314.00,6000,19.1083,1
Uruguay,1,175016.00,3337000,19.0668,1
"Christmas Island",2,135.00,2500,18.5185,2
"Equatorial Guinea",2,28051.00,453000,16.1492,2
Somalia,2,637657.00,10097000,15.8345,2
Vanuatu,3,12189.00,190000,15.5878,3
"Solomon Islands",3,28896.00,444000,15.3654,3
Finland,5,338145.00,5171300,15.2931,5
"New Zealand",2,270534.00,3862000,14.2755,2
Norway,5,323877.00,4478500,13.8278,5
Paraguay,4,406752.00,5496000,13.5119,4
Argentina,3,2780400.00,37032000,13.3189,3
Algeria,2,2381741.00,31471000,13.2134,2
Zambia,6,752618.00,9169000,12.1828,6
Sudan,10,2505813.00,29490000,11.7686,10
"New Caledonia",3,18575.00,214000,11.5209,3
Belize,4,22696.00,241000,10.6186,4
"Papua New Guinea",2,462840.00,4807000,10.3859,2
Angola,9,1246700.00,12878000,10.3297,9
"Saudi Arabia",1,2149690.00,21607000,10.0512,1
Turkmenistan,4,488100.00,4459000,9.1354,4
Mali,6,1240192.00,11234000,9.0583,6
Congo,6,342000.00,2943000,8.6053,6
"Russian Federation",12,17075400.00,146934000,8.6050,12
"Russian Federation",24,17075400.00,146934000,8.6050,24
Niger,5,1267000.00,10730000,8.4688,5
Oman,2,309500.00,2542000,8.2132,2
Niue,2,260.00,2000,7.6923,2
Bolivia,4,1098581.00,8329000,7.5816,4
Chad,8,1284000.00,7651000,5.9587,8
Kazakstan,6,2724900.00,16223000,5.9536,6
"Central African Republic",6,622984.00,3615000,5.8027,6
Gabon,4,267668.00,1226000,4.5803,4
Guyana,3,214969.00,861000,4.0052,3
"Libyan Arab Jamahiriya",2,1759540.00,5605000,3.1855,2
Canada,12,9970610.00,31147000,3.1239,12
Botswana,5,581730.00,1622000,2.7882,5
Iceland,2,103000.00,279000,2.7087,2
Mauritania,6,1025520.00,2670000,2.6036,6
Suriname,2,163265.00,417000,2.5541,2
Australia,8,7741220.00,18886000,2.4397,8
Namibia,8,824292.00,1726000,2.0939,8
"French Guiana",2,90000.00,181000,2.0111,2
Mongolia,6,1566500.00,2662000,1.6993,6
"Western Sahara",1,266000.00,293000,1.1015,1
Pitcairn,1,49.00,50,1.0204,1
"Falkland Islands",1,12173.00,2000,0.1643,1
"Svalbard and Jan Mayen",2,62422.00,3200,0.0513,2
Greenland,2,2166090.00,56000,0.0259,2
